STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
ALASKA,AK,ALEUTIANS EAST BOR. 1,,"Unmeasured, AK DMA",,
ALASKA,AK,ALEUTIANS WEST C.A. 2,,"Unmeasured, AK DMA",,
ALASKA,AK,ANCHORAGE BOR. 3,,"Anchorage, AK DMA",,
ALASKA,AK,BETHEL C.A. 4,,"Unmeasured, AK DMA",,
ALASKA,AK,BRISTOL BAY BOR. 5,,"Unmeasured, AK DMA",,
ALASKA,AK,DENALI BOR. 6,,"Fairbanks, AK DMA",,
ALASKA,AK,DILLINGHAM C.A. 7,,"Unmeasured, AK DMA",,
ALASKA,AK,FAIRBANKS NO.STAR BOR8.,,"Fairbanks, AK DMA",,
ALASKA,AK,HAINES BOR. 9,,"Unmeasured, AK DMA",,
ALASKA,AK,JUNEAU BOR. 10,,"Juneau, AK DMA",,
ALASKA,AK,KENAI PENINSULA BOR. 11,,"Anchorage, AK DMA",,
ALASKA,AK,KETCHIKAN GATEWAY B1O2,,"Unmeasured, AK DMA",,
ALASKA,AK,KODIAK ISLAND BOR. 13,,"Unmeasured, AK DMA",,
ALASKA,AK,LAKE & PENINSULA BOR14,,"Unmeasured, AK DMA",,
ALASKA,AK,MATANUSKA-SUSITNA B1O5,,"Anchorage, AK DMA",,
ALASKA,AK,NOME C.A. 16,,"Unmeasured, AK DMA",,
ALASKA,AK,NORTH SLOPE BOR. 17,,"Unmeasured, AK DMA",,
ALASKA,AK,NORTHWEST ARCTIC BO1R8.,,"Unmeasured, AK DMA",,
ALASKA,AK,PR.WALES-OUT.KET.C.A 19,,"Unmeasured, AK DMA",,
ALASKA,AK,SITKA BOR. 20,,"Unmeasured, AK DMA",,
ALASKA,AK,SKAGWAY-HOO.-ANG.C.A21,,"Unmeasured, AK DMA",,
ALASKA,AK,SOUTHEAST FRBKS. C.A 22,,"Fairbanks, AK DMA",,
ALASKA,AK,VALDEZ-CORDOVA C.A. 23,,"Unmeasured, AK DMA",,
ALASKA,AK,WADE HAMPTON C.A. 24,,"Unmeasured, AK DMA",,
ALASKA,AK,WRANGELL-PETERS. C.A25,,"Unmeasured, AK DMA",,
ALASKA,AK,YAKUTAT BOR. 26,,"Unmeasured, AK DMA",,
ALASKA,AK,YUKON-KOYUKUK C.A. 27,,"Unmeasured, AK DMA",,
