STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
ALABAMA,AL ,AUTAUGA,Central ISR," Montgomery, AL DMA"," Montgomery, AL MSA", Other Metro GMR.
ALABAMA,AL ,BALDWIN,Gulf Coast ISR," Mobile, AL - Pensacola, FL - MS DMA"," Mobile, AL MSA", Mobile Metro GMR.
ALABAMA,AL ,BARBOUR,Southeast ISR," Columbus, GA - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,BIBB,Central ISR," Birmingham, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,BLOUNT,North ISR," Birmingham, AL DMA"," Birmingham, AL MSA", Birmingham Metro GMR.
ALABAMA,AL ,BULLOCK,Central ISR," Montgomery, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,BUTLER,Southeast ISR," Montgomery, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CALHOUN,North ISR," Birmingham, AL DMA"," Anniston, AL MSA", Other Metro GMR.
ALABAMA,AL ,CHAMBERS,Central ISR," Columbus, GA - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CHEROKEE,North ISR," Birmingham, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CHILTON,Central ISR," Birmingham, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CHOCTAW,Central ISR," Meridian, MS - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CLARKE,Gulf Coast ISR," Mobile, AL - Pensacola, FL - MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CLAY,North ISR," Birmingham, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CLEBURNE,North ISR," Atlanta, GA - AL - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,COFFEE,Southeast ISR," Dothan, AL - GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,COLBERT,North ISR," Huntsville - Decatur - Florence, AL - TN DMA"," Florence, AL MSA", Other Metro GMR.
ALABAMA,AL ,CONECUH,Gulf Coast ISR," Mobile, AL - Pensacola, FL - MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,COOSA,Central ISR," Montgomery, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,COVINGTON,Southeast ISR," Montgomery, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CRENSHAW,Southeast ISR," Montgomery, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ALABAMA,AL ,CULLMAN,North ISR," Birmingham, AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
