STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
ARKANSAS,AR,ARKANSAS,Mississippi Delta ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,ASHLEY,Timberlands ISR," Monroe - El Dorado, LA - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,BAXTER,Ozarks ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,BENTON,Ozarks ISR," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"," Fayetteville - Springdale - Rogers, AR MSA", Other Metro GMR.
ARKANSAS,AR,BOONE,Ozarks ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,BRADLEY,Timberlands ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CALHOUN,Timberlands ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CARROLL,Ozarks ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CHICOT,Mississippi Delta ISR," Greenwood - Greenville, MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CLARK,Ouachitas ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CLAY,Mississippi Delta ISR," Jonesboro, AR - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CLEBURNE,Ozarks ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CLEVELAND,Timberlands ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,COLUMBIA,Timberlands ISR," Shreveport, LA - AR - OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CONWAY,River Valley ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,CRAIGHEAD,Mississippi Delta ISR," Jonesboro, AR - MO DMA"," Jonesboro, AR MSA", Other Metro GMR.
ARKANSAS,AR,CRAWFORD,River Valley ISR," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"," Fort Smith, AR - OK MSA", Other Metro GMR.
ARKANSAS,AR,CRITTENDEN,Mississippi Delta ISR," Memphis, TN - AR- MS - MO DMA"," Memphis, TN - AR - MS MSA", Other Metro GMR.
ARKANSAS,AR,CROSS,Mississippi Delta ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,DALLAS,Timberlands ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,DESHA,Mississippi Delta ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,DREW,Timberlands ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,FAULKNER,Central ISR," Little Rock - Pine Bluff, AR DMA"," Little Rock - North Little Rock, AR MSA", Little Rock Metro GMR.
ARKANSAS,AR,FRANKLIN,River Valley ISR," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,FULTON,Ozarks ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,GARLAND,Ouachitas ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARKANSAS,AR,GRANT,Timberlands ISR," Little Rock - Pine Bluff, AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
