STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
ARIZONA,AZ,APACHE,Indian Country ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,COCHISE,Old West Country ISR," Tucson (Nogales), AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,COCONINO,Canyon Country ISR," Phoenix, AZ DMA"," Flagstaff, AZ - UT MSA", Other Metro GMR.
ARIZONA,AZ,GILA,High Country ISR," Phoenix, AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,GRAHAM,High Country ISR," Phoenix, AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,GREENLEE,High Country ISR," Phoenix, AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,LA PAZ,Arizonas West Coast ISR," Phoenix, AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,MARICOPA,Valley of the Sun ISR," Phoenix, AZ DMA"," Phoenix - Mesa, AZ MSA", Phoenix Metro GMR.
ARIZONA,AZ,MOHAVE,Arizonas West Coast ISR," Phoenix, AZ DMA"," Las Vegas, NV - AZ MSA", Other Metro GMR.
ARIZONA,AZ,NAVAJO,Indian Country ISR," Phoenix, AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,PIMA,Old West Country ISR," Tucson (Nogales), AZ DMA"," Tucson, AZ MSA", Tucson Metro GMR.
ARIZONA,AZ,PINAL,Valley of the Sun ISR," Phoenix, AZ DMA"," Phoenix - Mesa, AZ MSA", Phoenix Metro GMR.
ARIZONA,AZ,SANTA CRUZ,Old West Country ISR," Tucson (Nogales), AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,YAVAPAI,Central Territory ISR," Phoenix, AZ DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ARIZONA,AZ,YUMA,Arizonas West Coast ISR," Yuma - El Centro, AZ - CA DMA"," Yuma, AZ MSA", Other Metro GMR.
