STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
COLORADO,CO,ADAMS,North Central ISR," Denver, CO - NE - NV - WY DMA"," Denver, CO PMSA",  GMR.
COLORADO,CO,ALAMOSA,South Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,ARAPAHOE,North Central ISR," Denver, CO - NE - NV - WY DMA"," Denver, CO PMSA",  GMR.
COLORADO,CO,ARCHULETA,Southwest ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,BACA,Southeast ISR," Colorado Springs - Pueblo, CO DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,BENT,Southeast ISR," Colorado Springs - Pueblo, CO DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,BOULDER,North Central ISR," Denver, CO - NE - NV - WY DMA"," Boulder - Longmont, CO PMSA",  GMR.
COLORADO,CO,CHAFFEE,South Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,CHEYENNE,Northeast ISR," Colorado Springs - Pueblo, CO DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,CLEAR CREEK,North Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,CONEJOS,South Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,COSTILLA,South Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,CROWLEY,Southeast ISR," Colorado Springs - Pueblo, CO DMA", Not Assigned to Metro Area (NAM),  GMR.
COLORADO,CO,CUSTER,South Central ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM),  GMR.
