STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
GEORGIA,GA,APPLING,Magnolia Midlands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,ATKINSON,Magnolia Midlands ISR," Albany, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BACON,Magnolia Midlands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BAKER,Plantation Trace ISR," Albany, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BALDWIN,Historic Heartland ISR," Macon, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BANKS,Northeast GA Mountains ISR," Atlanta, GA - AL - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BARROW,Northeast GA Mountains ISR," Atlanta, GA - AL - NC DMA"," Atlanta, GA MSA", Atlanta Outer Burbs GMR.
GEORGIA,GA,BARTOW,Nothwest GA Mountains ISR," Atlanta, GA - AL - NC DMA"," Atlanta, GA MSA", Atlanta Outer Burbs GMR.
GEORGIA,GA,BEN HILL,Magnolia Midlands ISR," Albany, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BERRIEN,Plantation Trace ISR," Albany, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BIBB,Historic Heartland ISR," Macon, GA DMA"," Macon, GA MSA", Other Metro GMR.
GEORGIA,GA,BLECKLEY,Magnolia Midlands ISR," Macon, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BRANTLEY,Colonial Coast ISR," Jacksonville, FL - Brunswick, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BROOKS,Plantation Trace ISR," Tallahassee - Thomasville, FL - GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BRYAN,Colonial Coast ISR," Savannah, GA - SC DMA"," Savannah, GA MSA", Other Metro GMR.
GEORGIA,GA,BULLOCH,Magnolia Midlands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BURKE,Classic South ISR," Augusta, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,BUTTS,Historic Heartland ISR," Atlanta, GA - AL - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,CALHOUN,Plantation Trace ISR," Albany, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,CAMDEN,Colonial Coast ISR," Jacksonville, FL - Brunswick, GA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,CANDLER,Magnolia Midlands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
GEORGIA,GA,CARROLL,Nothwest GA Mountains ISR," Atlanta, GA - AL - NC DMA"," Atlanta, GA MSA", Atlanta Outer Burbs GMR.
GEORGIA,GA,CATOOSA,Nothwest GA Mountains ISR," Chattanooga, TN - GA - NC DMA"," Chattanooga, TN - GA MSA", Other Metro GMR.
