STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
IDAHO,ID,ADA,Southwestern ISR," Boise, ID - OR DMA"," Boise City, ID MSA", Boise Metro GMR.
IDAHO,ID,ADAMS,Southwestern ISR," Boise, ID - OR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BANNOCK,Southeastern ISR," Idaho Falls - Pocatello, ID - WY DMA"," Pocatello, ID MSA", Other Metro GMR.
IDAHO,ID,BEAR LAKE,Southeastern ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BENEWAH,North ISR," Spokane, WA - ID - MT - OR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BINGHAM,Southeastern ISR," Idaho Falls - Pocatello, ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BLAINE,Central ISR," Twin Falls, ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BOISE,Southwestern ISR," Boise, ID - OR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BONNER,North ISR," Spokane, WA - ID - MT - OR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BONNEVILLE,Eastern ISR," Idaho Falls - Pocatello, ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BOUNDARY,North ISR," Spokane, WA - ID - MT - OR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,BUTTE,Central ISR," Idaho Falls - Pocatello, ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,CAMAS,Central ISR," Boise, ID - OR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,CANYON,Southwestern ISR," Boise, ID - OR DMA"," Boise City, ID MSA", Boise Metro GMR.
IDAHO,ID,CARIBOU,Southeastern ISR," Idaho Falls - Pocatello, ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
IDAHO,ID,CASSIA,South Central ISR," Twin Falls, ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
