STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
ILLINOIS,IL,ADAMS,Western ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,ALEXANDER,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,BOND,Southern ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,BOONE,Northern ISR," Rockford, IL DMA"," Rockford, IL MSA", Other Metro GMR.
ILLINOIS,IL,BROWN,Western ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,BUREAU,Western ISR," Davenport - Rock Island - Moline, IA - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CALHOUN,Southern ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CARROLL,Northern ISR," Davenport - Rock Island - Moline, IA - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CASS,Central ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CHAMPAIGN,Central ISR," Champaign - Springfield - Decatur, IL DMA"," Champaign - Urbana, IL MSA", Other Metro GMR.
ILLINOIS,IL,CHRISTIAN,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CLARK,Central ISR," Terre Haute, IN - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CLAY,Southern ISR," Terre Haute, IN - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CLINTON,Southern ISR," St. Louis, MO - IL DMA"," St. Louis, MO - IL MSA", Other Metro GMR.
ILLINOIS,IL,COLES,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,COOK,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Cook Co. GMR.
ILLINOIS,IL,CRAWFORD,Central ISR," Terre Haute, IN - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,CUMBERLAND,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,DE KALB,Northern ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,DE WITT,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,DOUGLAS,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,DU PAGE,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,EDGAR,Central ISR," Terre Haute, IN - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,EDWARDS,Southern ISR," Evansville, IN - IL - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,EFFINGHAM,Southern ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,FAYETTE,Southern ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,FORD,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,FRANKLIN,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,FULTON,Western ISR," Peoria - Bloomington, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,GALLATIN,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,GREENE,Central ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,GRUNDY,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,HAMILTON,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,HANCOCK,Western ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,HARDIN,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,HENDERSON,Western ISR," Davenport - Rock Island - Moline, IA - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,HENRY,Western ISR," Davenport - Rock Island - Moline, IA - IL DMA"," Davenport - Moline - Rock Island, IA - IL MSA", Other Metro GMR.
ILLINOIS,IL,IROQUOIS,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,JACKSON,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,JASPER,Southern ISR," Terre Haute, IN - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,JEFFERSON,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,JERSEY,Southern ISR," St. Louis, MO - IL DMA"," St. Louis, MO - IL MSA", Other Metro GMR.
ILLINOIS,IL,JO DAVIESS,Northern ISR," Davenport - Rock Island - Moline, IA - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,JOHNSON,Southern ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,KANE,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,KANKAKEE,Chicagoland ISR," Chicago, IL - IN DMA"," Kankakee, IL PMSA", Other Metro GMR.
ILLINOIS,IL,KENDALL,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,KNOX,Western ISR," Davenport - Rock Island - Moline, IA - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,LAKE,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,LA SALLE,Northern ISR," Chicago, IL - IN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,LAWRENCE,Southern ISR," Terre Haute, IN - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,LEE,Northern ISR," Rockford, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,LIVINGSTON,Central ISR," Peoria - Bloomington, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,LOGAN,Central ISR," Champaign - Springfield - Decatur, IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,MCDONOUGH,Western ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,MCHENRY,Chicagoland ISR," Chicago, IL - IN DMA"," Chicago, IL PMSA", Chicago Suburbs GMR.
ILLINOIS,IL,MCLEAN,Central ISR," Peoria - Bloomington, IL DMA"," Bloomington - Normal, IL MSA", Other Metro GMR.
ILLINOIS,IL,MACON,Central ISR," Champaign - Springfield - Decatur, IL DMA"," Decatur, IL MSA", Other Metro GMR.
ILLINOIS,IL,MACOUPIN,Central ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
ILLINOIS,IL,MADISON,Southern ISR," St. Louis, MO - IL DMA"," St. Louis, MO - IL MSA", Other Metro GMR.
ILLINOIS,IL,MARION,Southern ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
