STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
KANSAS,KS,ALLEN,Southeast ISR," Joplin - Pittsburg, MO - KS - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,ANDERSON,Southeast ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,ATCHISON,Northeast ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,BARBER,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,BARTON,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,BOURBON,Southeast ISR," Joplin - Pittsburg, MO - KS - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,BROWN,Northeast ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,BUTLER,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA"," Wichita, KS MSA", Wichita Metro GMR.
KANSAS,KS,CHASE,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CHAUTAUQUA,Southeast ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CHEROKEE,Southeast ISR," Joplin - Pittsburg, MO - KS - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CHEYENNE,Northwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CLARK,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CLAY,North Central ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CLOUD,North Central ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,COFFEY,Southeast ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,COMANCHE,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,COWLEY,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,CRAWFORD,Southeast ISR," Joplin - Pittsburg, MO - KS - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,DECATUR,Northwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,DICKINSON,Northeast ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,DONIPHAN,Northeast ISR," St. Joseph, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,DOUGLAS,Northeast ISR," Kansas City, MO - KS DMA"," Lawrence, KS MSA", Other Metro GMR.
KANSAS,KS,EDWARDS,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,ELK,Southeast ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,ELLIS,Northwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,ELLSWORTH,North Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,FINNEY,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,FORD,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,FRANKLIN,Northeast ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GEARY,Northeast ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GOVE,Northwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GRAHAM,Northwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GRANT,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GRAY,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GREELEY,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,GREENWOOD,Southeast ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,HAMILTON,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,HARPER,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,HARVEY,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA"," Wichita, KS MSA", Wichita Metro GMR.
KANSAS,KS,HASKELL,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,HODGEMAN,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,JACKSON,Northeast ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,JEFFERSON,Northeast ISR," Topeka, KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,JEWELL,North Central ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,JOHNSON,Northeast ISR," Kansas City, MO - KS DMA"," Kansas City, MO - KS MSA", Kansas City Metro GMR.
KANSAS,KS,KEARNY,Southwest ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KANSAS,KS,KINGMAN,South Central ISR," Wichita - Hutchinson Plus, KS - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
