STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
KENTUCKY,KY,ADAIR,Scenic Wonderlands ISR," Bowling Green, KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,ALLEN,Scenic Wonderlands ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,ANDERSON,Bluegrass Heartlands ISR," Lexington, KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BALLARD,Western Waterlands ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BARREN,Scenic Wonderlands ISR," Bowling Green, KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BATH,Bluegrass Heartlands ISR," Lexington, KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BELL,Eastern Highlands ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BOONE,Bluegrass Heartlands ISR," Cincinnati, OH -IN - KY DMA"," Cincinnati, OH - KY - IN PMSA"," Cincinnati, OH Metro GMR."
KENTUCKY,KY,BOURBON,Bluegrass Heartlands ISR," Lexington, KY DMA"," Lexington, KY MSA", Lexington Metro GMR.
KENTUCKY,KY,BOYD,Eastern Highlands ISR," Charleston - Huntington, WV - KY - OH DMA"," Huntington - Ashland, WV - KY - OH MSA", Other Metro GMR.
KENTUCKY,KY,BOYLE,Bluegrass Heartlands ISR," Lexington, KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BRACKEN,Bluegrass Heartlands ISR," Cincinnati, OH -IN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
KENTUCKY,KY,BREATHITT,Eastern Highlands ISR," Lexington, KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
