STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
MAINE,ME,ANDROSCOGGIN,Greater Portland ISR," Portland - Auburn, ME - NH - VT DMA"," Lewiston - Auburn, ME NECMA", Other Metro GMR.
MAINE,ME,AROOSTOOK,Inland Mountains ISR," Presque Isle, ME DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,CUMBERLAND,Greater Portland ISR," Portland - Auburn, ME - NH - VT DMA"," Portland, ME NECMA", Portland (Cumberland Co.) GMR.
MAINE,ME,FRANKLIN,Inland Mountains ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,HANCOCK,Eastern Coast ISR," Bangor, ME DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,KENNEBEC,Central Coast ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,KNOX,Central Coast ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,LINCOLN,Central Coast ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,OXFORD,Inland Mountains ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,PENOBSCOT,Eastern Coast ISR," Bangor, ME DMA"," Bangor, ME NECMA", Other Metro GMR.
MAINE,ME,PISCATAQUIS,Inland Mountains ISR," Bangor, ME DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,SAGADAHOC,Greater Portland ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,SOMERSET,Inland Mountains ISR," Bangor, ME DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,WALDO,Central Coast ISR," Bangor, ME DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,WASHINGTON,Eastern Coast ISR," Bangor, ME DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MAINE,ME,YORK,Southern Coast ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
