STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
MICHIGAN,MI,ALCONA,Northern Lower Peninsula ISR," Alpena, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,ALGER,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,ALLEGAN,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA"," Grand Rapids - Muskegon - Holland, MI MSA", Other
MICHIGAN,MI,ALPENA,Northern Lower Peninsula ISR," Alpena, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,ANTRIM,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,ARENAC,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,BARAGA,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,BARRY,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GM
MICHIGAN,MI,BAY,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA"," Saginaw - Bay City - Midland, MI MSA", Other Metro GMR.
MICHIGAN,MI,BENZIE,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,BERRIEN,Southern Lower Peninsula-West (Lake Michigan) ISR," South Bend - Elkhart, IN - MI DMA"," Benton Harbor, MI MSA", Other Metro GMR.
MICHIGAN,MI,BRANCH,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GM
MICHIGAN,MI,CALHOUN,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA"," Kalamazoo - Battle Creek, MI MSA", Other Metro GM
MICHIGAN,MI,CASS,Southern Lower Peninsula-West (Lake Michigan) ISR," South Bend - Elkhart, IN - MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,CHARLEVOIX,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,CHEBOYGAN,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,CHIPPEWA,Upper Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,CLARE,Central Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,CLINTON,Southern Lower Peninsula-East (Lake Huron) ISR," Lansing, MI DMA"," Lansing - East Lansing, MI MSA", Other Metro GMR.
MICHIGAN,MI,CRAWFORD,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,DELTA,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,DICKINSON,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,EATON,Southern Lower Peninsula-East (Lake Huron) ISR," Lansing, MI DMA"," Lansing - East Lansing, MI MSA", Other Metro GMR.
MICHIGAN,MI,EMMET,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,GENESEE,Southern Lower Peninsula-East (Lake Huron) ISR," Flint - Saginaw - Bay City, MI DMA"," Flint, MI PMSA", Other Metro GMR.
MICHIGAN,MI,GLADWIN,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,GOGEBIC,Upper Peninsula ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,GRAND TRAVERSE,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,GRATIOT,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,HILLSDALE,Southern Lower Peninsula-East (Lake Huron) ISR," Lansing, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,HOUGHTON,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,HURON,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,INGHAM,Southern Lower Peninsula-East (Lake Huron) ISR," Lansing, MI DMA"," Lansing - East Lansing, MI MSA", Other Metro GMR.
MICHIGAN,MI,IONIA,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GM
MICHIGAN,MI,IOSCO,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,IRON,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,ISABELLA,Central Lower Peninsula ISR," Flint - Saginaw - Bay City, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,JACKSON,Southern Lower Peninsula-East (Lake Huron) ISR," Lansing, MI DMA"," Jackson, MI MSA", Other Metro GMR.
MICHIGAN,MI,KALAMAZOO,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA"," Kalamazoo - Battle Creek, MI MSA", Other Metro GM
MICHIGAN,MI,KALKASKA,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,KENT,Southern Lower Peninsula-West (Lake Michigan) ISR," Grand Rapids - Kalamazoo - Battle Creek, MI DMA"," Grand Rapids - Muskegon - Holland, MI MSA", Other
MICHIGAN,MI,KEWEENAW,Upper Peninsula ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,LAKE,Central Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
MICHIGAN,MI,LAPEER,Southern Lower Peninsula-East (Lake Huron) ISR," Detroit, MI DMA"," Detroit, MI PMSA", Detroit Suburbs GMR.
MICHIGAN,MI,LEELANAU,Northern Lower Peninsula ISR," Traverse City - Cadillac, MI DMA", Not Assigned to Metro Area (NAM), Non Metro. GMR.
