STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
MINNESOTA,MN,AITKIN,Northeastern ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,ANOKA,Twin Cities Metroland ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Suburbs GMR.
MINNESOTA,MN,BECKER,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,BELTRAMI,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,BENTON,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA"," St. Cloud, MN MSA", Other Metro GMR.
MINNESOTA,MN,BIG STONE,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,BLUE EARTH,Southern ISR," Mankato, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,BROWN,Southern ISR," Mankato, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,CARLTON,Northeastern ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,CARVER,Twin Cities Metroland ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Suburbs GMR.
MINNESOTA,MN,CASS,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,CHIPPEWA,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,CHISAGO,Twin Cities Metroland ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Suburbs GMR.
MINNESOTA,MN,CLAY,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA"," Fargo - Moorhead, ND - MN MSA", Other Metro GMR.
MINNESOTA,MN,CLEARWATER,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,COOK,Northeastern ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,COTTONWOOD,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,CROW WING,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,DAKOTA,Twin Cities Metroland ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Suburbs GMR.
MINNESOTA,MN,DODGE,Southern ISR," Rochester - Mason City - Austin, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,DOUGLAS,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,FARIBAULT,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,FILLMORE,Southern ISR," Rochester - Mason City - Austin, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,FREEBORN,Southern ISR," Rochester - Mason City - Austin, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,GOODHUE,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,GRANT,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,HENNEPIN,Twin Cities Metroland ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Core GMR.
MINNESOTA,MN,HOUSTON,Southern ISR," LaCrosse - Eau Claire, WI - MN DMA"," LaCrosse, WI - MN MSA", Other Metro GMR.
MINNESOTA,MN,HUBBARD,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,ISANTI,Northeastern ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Suburbs GMR.
MINNESOTA,MN,ITASCA,Northeastern ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,JACKSON,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,KANABEC,Northeastern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,KANDIYOHI,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,KITTSON,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,KOOCHICHING,Northeastern ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,LAC QUI PARLE,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,LAKE,Northeastern ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,LAKE OF WOODS,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,LE SUEUR,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,LINCOLN,Southern ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,LYON,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MCLEOD,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MAHNOMEN,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MARSHALL,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MARTIN,Southern ISR," Mankato, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MEEKER,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MILLE LACS,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MORRISON,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MOWER,Southern ISR," Rochester - Mason City - Austin, MN - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,MURRAY,Southern ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,NICOLLET,Southern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,NOBLES,Southern ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,NORMAN,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,OLMSTED,Southern ISR," Rochester - Mason City - Austin, MN - IA DMA"," Rochester, MN MSA", Other Metro GMR.
MINNESOTA,MN,OTTER TAIL,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,PENNINGTON,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,PINE,Northeastern ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,PIPESTONE,Southern ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,POLK,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA"," Grand Forks, ND - MN MSA", Other Metro GMR.
MINNESOTA,MN,POPE,Northcentral/West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MINNESOTA,MN,RAMSEY,Twin Cities Metroland ISR," Minneapolis - St. Paul, MN - WI DMA"," Minneapolis - St. Paul, MN - WI MSA", Minneapolis-St.Paul Core GMR.
MINNESOTA,MN,RED LAKE,Northcentral/West ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
