STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
MISSOURI,MO,ADAIR,Chariton Valley ISR," Ottumwa - Kirksville, IA - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,ANDREW,Pony Express ISR," St. Joseph, MO - KS DMA"," St. Joseph, MO MSA", Other Metro GMR.
MISSOURI,MO,ATCHISON,Pony Express ISR," Omaha, NE - IA - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,AUDRAIN,Mark Twain ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,BARRY,Ozark Mountain ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,BARTON,Osage Lakes ISR," Joplin - Pittsburg, MO - KS - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,BATES,Osage Lakes ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,BENTON,Osage Lakes ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,BOLLINGER,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,BOONE,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA"," Columbia, MO MSA", Other Metro GMR.
MISSOURI,MO,BUCHANAN,Pony Express ISR," St. Joseph, MO - KS DMA"," St. Joseph, MO MSA", Other Metro GMR.
MISSOURI,MO,BUTLER,Ozark Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CALDWELL,Pony Express ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CALLAWAY,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CAMDEN,Lake of the Ozarks ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CAPE GIRARDEAU,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CARROLL,Chariton Valley ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CARTER,Ozark Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CASS,Kansas City Area ISR," Kansas City, MO - KS DMA"," Kansas City, MO - KS MSA", Kansas City Metro GMR.
MISSOURI,MO,CEDAR,Osage Lakes ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CHARITON,Chariton Valley ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CHRISTIAN,Ozark Mountain ISR," Springfield, MO - AR DMA"," Springfield, MO MSA", Other Metro GMR.
MISSOURI,MO,CLARK,Mark Twain ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CLAY,Kansas City Area ISR," Kansas City, MO - KS DMA"," Kansas City, MO - KS MSA", Kansas City Metro GMR.
MISSOURI,MO,CLINTON,Pony Express ISR," Kansas City, MO - KS DMA"," Kansas City, MO - KS MSA", Kansas City Metro GMR.
MISSOURI,MO,COLE,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,COOPER,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,CRAWFORD,Ozark Heritage ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DADE,Osage Lakes ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DALLAS,Osage Lakes ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DAVIESS,Pony Express ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DE KALB,Pony Express ISR," St. Joseph, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DENT,Ozark Heritage ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DOUGLAS,Ozark Mountain ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,DUNKLIN,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,FRANKLIN,St. Louis Area ISR," St. Louis, MO - IL DMA"," St. Louis, MO - IL MSA", St. Louis Metro GMR.
MISSOURI,MO,GASCONADE,Lake of the Ozarks ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,GENTRY,Pony Express ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,GREENE,Ozark Mountain ISR," Springfield, MO - AR DMA"," Springfield, MO MSA", Other Metro GMR.
MISSOURI,MO,GRUNDY,Chariton Valley ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,HARRISON,Pony Express ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,HENRY,Osage Lakes ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,HICKORY,Osage Lakes ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,HOLT,Pony Express ISR," St. Joseph, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,HOWARD,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,HOWELL,Ozark Heritage ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,IRON,Ozark Heritage ISR," St. Louis, MO - IL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,JACKSON,Kansas City Area ISR," Kansas City, MO - KS DMA"," Kansas City, MO - KS MSA", Kansas City Metro GMR.
MISSOURI,MO,JASPER,Ozark Mountain ISR," Joplin - Pittsburg, MO - KS - OK DMA"," Joplin, MO MSA", Other Metro GMR.
MISSOURI,MO,JEFFERSON,St. Louis Area ISR," St. Louis, MO - IL DMA"," St. Louis, MO - IL MSA", St. Louis Metro GMR.
MISSOURI,MO,JOHNSON,Osage Lakes ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,KNOX,Mark Twain ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,LACLEDE,Lake of the Ozarks ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,LAFAYETTE,Kansas City Area ISR," Kansas City, MO - KS DMA"," Kansas City, MO - KS MSA", Kansas City Metro GMR.
MISSOURI,MO,LAWRENCE,Ozark Mountain ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,LEWIS,Mark Twain ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,LINCOLN,St. Louis Area ISR," St. Louis, MO - IL DMA"," St. Louis, MO - IL MSA", St. Louis Metro GMR.
MISSOURI,MO,LINN,Chariton Valley ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,LIVINGSTON,Chariton Valley ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MCDONALD,Ozark Mountain ISR," Joplin - Pittsburg, MO - KS - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MACON,Chariton Valley ISR," Ottumwa - Kirksville, IA - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MADISON,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MARIES,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MARION,Mark Twain ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MERCER,Chariton Valley ISR," Des Moines - Ames, IA - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MILLER,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MISSISSIPPI,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MONITEAU,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MONROE,Mark Twain ISR," Quincy - Hannibal - Keokuk, MO - IL - IA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MONTGOMERY,Mark Twain ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,MORGAN,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,NEW MADRID,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,NEWTON,Ozark Mountain ISR," Joplin - Pittsburg, MO - KS - OK DMA"," Joplin, MO MSA", Other Metro GMR.
MISSOURI,MO,NODAWAY,Pony Express ISR," St. Joseph, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,OREGON,Ozark Heritage ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,OSAGE,Lake of the Ozarks ISR," Columbia - Jefferson City, MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,OZARK,Ozark Mountain ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,PEMISCOT,River Heritage ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,PERRY,River Heritage ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,PETTIS,Osage Lakes ISR," Kansas City, MO - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSOURI,MO,PHELPS,Ozark Heritage ISR," Springfield, MO - AR DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
