STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
MISSISSIPPI,MS,ADAMS,Southern ISR," Jackson, MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,ALCORN,North ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,AMITE,Southern ISR," Baton Rouge, LA - MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,ATTALA,Central ISR," Jackson, MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,BENTON,North ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,BOLIVAR,Central ISR," Greenwood - Greenville, MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CALHOUN,Central ISR," Columbus - Tupelo - West Point, MS - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CARROLL,Central ISR," Greenwood - Greenville, MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CHICKASAW,Central ISR," Columbus - Tupelo - West Point, MS - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CHOCTAW,Central ISR," Columbus - Tupelo - West Point, MS - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CLAIBORNE,Central ISR," Jackson, MS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CLARKE,Central ISR," Meridian, MS - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,CLAY,Central ISR," Columbus - Tupelo - West Point, MS - AL DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MISSISSIPPI,MS,COAHOMA,North ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
