STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
MONTANA,MT,BEAVERHEAD,Gold West Country ISR," Butte - Bozeman, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,BIG HORN,Custer Country ISR," Billings, MT - ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,BLAINE,Russell Country ISR," Great Falls, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,BROADWATER,Gold West Country ISR," Butte - Bozeman, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,CARBON,Yellowstone Country ISR," Billings, MT - ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,CARTER,Custer Country ISR," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,CASCADE,Russell Country ISR," Great Falls, MT DMA"," Great Falls, MT MSA", Other Metro GMR.
MONTANA,MT,CHOUTEAU,Russell Country ISR," Great Falls, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,CUSTER,Custer Country ISR," Billings, MT - ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,DANIELS,Missouri River Country ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,DAWSON,Custer Country ISR," Glendive, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,DEER LODGE,Gold West Country ISR," Butte - Bozeman, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,FALLON,Custer Country ISR," Glendive, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,FERGUS,Russell Country ISR," Great Falls, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,FLATHEAD,Glacier Country ISR," Missoula, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,GALLATIN,Yellowstone Country ISR," Butte - Bozeman, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,GARFIELD,Missouri River Country ISR," Billings, MT - ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
MONTANA,MT,GLACIER,Glacier Country ISR," Great Falls, MT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
