STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NORTH CAROLINA,NC,ALAMANCE,Northern Foothills ISR," Greensboro - H.Point - W.Salem, NC - VA DMA"," Greensboro - Winston-Salem - High Point, NC MSA", Greensboro-WS-HP Metro GMR.
NORTH CAROLINA,NC,ALEXANDER,Northern Mountains ISR," Charlotte, NC - SC DMA"," Hickory - Morganton - Lenoir, NC MSA", Other Metro GMR.
NORTH CAROLINA,NC,ALLEGHANY,Northern Mountains ISR," Greensboro - H.Point - W.Salem, NC - VA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,ANSON,Southern Foothills ISR," Charlotte, NC - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,ASHE,Northern Mountains ISR," Charlotte, NC - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,AVERY,Northern Mountains ISR," Charlotte, NC - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,BEAUFORT,Central Coast ISR," Greenville - New Bern - Washington, NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,BERTIE,Northern Coast ISR," Greenville - New Bern - Washington, NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,BLADEN,Southern Coast ISR," Wilmington, NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH CAROLINA,NC,BRUNSWICK,Southern Coast ISR," Wilmington, NC DMA"," Wilmington, NC MSA", Other Metro GMR.
NORTH CAROLINA,NC,BUNCOMBE,Central Mountains ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"," Asheville, NC MSA", Other Metro GMR.
NORTH CAROLINA,NC,BURKE,Northern Mountains ISR," Charlotte, NC - SC DMA"," Hickory - Morganton - Lenoir, NC MSA", Other Metro GMR.
NORTH CAROLINA,NC,CABARRUS,Southern Foothills ISR," Charlotte, NC - SC DMA"," Charlotte - Gastonia - Rock Hill, NC - SC MSA", Charlotte Metro GMR.
