STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NORTH DAKOTA,ND,ADAMS,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BARNES,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BENSON,The Lakes and Gardens ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BILLINGS,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BOTTINEAU,The Lakes and Gardens ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BOWMAN,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BURKE,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,BURLEIGH,The Coteaus and Prairies ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA"," Bismarck, ND MSA", All Metro GMR.
NORTH DAKOTA,ND,CASS,The Valley ISR," Fargo - Valley City, ND - MN DMA"," Fargo - Moorhead, ND - MN MSA", All Metro GMR.
NORTH DAKOTA,ND,CAVALIER,The Valley ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,DICKEY,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,DIVIDE,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,DUNN,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,EDDY,The Lakes and Gardens ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,EMMONS,The Coteaus and Prairies ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,FOSTER,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,GOLDEN VALLEY,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,GRAND FORKS,The Valley ISR," Fargo - Valley City, ND - MN DMA"," Grand Forks, ND - MN MSA", All Metro GMR.
NORTH DAKOTA,ND,GRANT,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,GRIGGS,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,HETTINGER,The West ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,KIDDER,The Coteaus and Prairies ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,LA MOURE,The Coteaus and Prairies ISR," Fargo - Valley City, ND - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,LOGAN,The Coteaus and Prairies ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NORTH DAKOTA,ND,MCHENRY,The Lakes and Gardens ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
