STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NEBRASKA,NE,ADAMS,Prairie Lakes Country ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,ANTELOPE,Northeast Nebraska ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,ARTHUR,Western Nebraska ISR," North Platte, NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BANNER,Western Nebraska ISR," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BLAINE,The Loup Basin ISR," North Platte, NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BOONE,Northeast Nebraska ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BOX BUTTE,Western Nebraska ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BOYD,Niobrara River Counties ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BROWN,Niobrara River Counties ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BUFFALO,The Big Bend ISR," Lincoln & Hastings - Kearney Plus, NE - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BURT,Northeast Nebraska ISR," Omaha, NE - IA - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,BUTLER,Southeast Nebraska ISR," Omaha, NE - IA - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEBRASKA,NE,CASS,The Metro Corridor ISR," Omaha, NE - IA - MO DMA"," Omaha, NE - IA MSA", Omaha Metro GMR.
