STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NEW HAMPSHIRE,NH,BELKNAP,"Central, Capital ISR"," Boston, MA - NH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW HAMPSHIRE,NH,CARROLL,Northern Tier ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW HAMPSHIRE,NH,CHESHIRE,"West, Conn. River Valley ISR"," Boston, MA - NH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW HAMPSHIRE,NH,COOS,Northern Tier ISR," Portland - Auburn, ME - NH - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW HAMPSHIRE,NH,GRAFTON,"West, Conn. River Valley ISR"," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW HAMPSHIRE,NH,HILLSBOROUGH,"Southern Tier, Greater Boston ISR"," Boston, MA - NH DMA"," Boston- Worcester- Lawrence- Lowell- Brockton, MA - NH NECMA", Manchester - Nashua Metro GM
NEW HAMPSHIRE,NH,MERRIMACK,"Central, Capital ISR"," Boston, MA - NH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW HAMPSHIRE,NH,ROCKINGHAM,"Southern Tier, Greater Boston ISR"," Boston, MA - NH DMA"," Boston- Worcester- Lawrence- Lowell- Brockton, MA - NH NECMA", Manchester - Nashua Metro GM
NEW HAMPSHIRE,NH,STRAFFORD,"Central, Capital ISR"," Boston, MA - NH DMA"," Boston- Worcester- Lawrence- Lowell- Brockton, MA - NH NECMA", Dover - Rochester Metro GMR.
NEW HAMPSHIRE,NH,SULLIVAN,"West, Conn. River Valley ISR"," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
