STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NEW MEXICO,NM,BERNALILLO,Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA"," Albuquerque, NM MSA", Albuquerque Metro GMR.
NEW MEXICO,NM,CATRON,Southwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,CHAVES,Southeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,CIBOLA,Northwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,COLFAX,Northeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,CURRY,Southeast ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,DE BACA,Southeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,DONA ANA,Southwest ISR," El Paso, TX - NM DMA"," Las Cruces, NM MSA", Other Metro GMR.
NEW MEXICO,NM,EDDY,Southeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,GRANT,Southwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,GUADALUPE,Northeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,HARDING,Northeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,HIDALGO,Southwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,LEA,Southeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,LINCOLN,Southeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,LOS ALAMOS,North-Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA"," Santa Fe, NM MSA", Non Metro GMR.
NEW MEXICO,NM,LUNA,Southwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,MCKINLEY,Northwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,MORA,Northeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,OTERO,Southeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,QUAY,Northeast ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,RIO ARRIBA,North-Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,ROOSEVELT,Southeast ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,SANDOVAL,Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA"," Albuquerque, NM MSA", Non Metro GMR.
NEW MEXICO,NM,SAN JUAN,Northwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,SAN MIGUEL,Northeast ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,SANTA FE,North-Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA"," Santa Fe, NM MSA", Other Metro GMR.
NEW MEXICO,NM,SIERRA,Southwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,SOCORRO,Southwest ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,TAOS,North-Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,TORRANCE,Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,UNION,Northeast ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW MEXICO,NM,VALENCIA,Central ISR," Albuquerque - Santa Fe, NM - AZ - CO DMA"," Albuquerque, NM MSA", Non Metro GMR.
