STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NEVADA,NV,CHURCHILL,Pony Express Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,CLARK,Las Vegas Territory ISR," Las Vegas, NV DMA"," Las Vegas, NV - AZ MSA", Las Vegas Metro GMR.
NEVADA,NV,DOUGLAS,Reno-Tahoe Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,ELKO,Cowboy Country ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,ESMERALDA,Pioneer Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,EUREKA,Pony Express Territory ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,HUMBOLDT,Cowboy Country ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,LANDER,Pony Express Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,LINCOLN,Pioneer Territory ISR," Las Vegas, NV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,LYON,Pioneer Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,MINERAL,Pioneer Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,NYE,Pioneer Territory ISR," Las Vegas, NV DMA"," Las Vegas, NV - AZ MSA", Las Vegas Metro GMR.
NEVADA,NV,PERSHING,Cowboy Country ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,STOREY,Reno-Tahoe Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,WASHOE,Reno-Tahoe Territory ISR," Reno, NV - CA DMA"," Reno, NV MSA", Other Metro GMR.
NEVADA,NV,WHITE PINE,Pony Express Territory ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,NV,CARSON CITY,Reno-Tahoe Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
