STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NEW YORK,NY,ALBANY,Capital-Saratoga ISR," Albany - Schenectady - Troy, NY - MA - VT DMA"," Albany - Schenectady - Troy, NY MSA", Other Metro GMR.
NEW YORK,NY,ALLEGANY,Chautauqua-Allegheny ISR," Buffalo, NY - PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,BRONX,New York City ISR," New York, NY - CT - NJ - PA DMA"," New York, NY PMSA", NYC-Inner Core GMR.
NEW YORK,NY,BROOME,Central-Leatherstocking ISR," Binghamton, NY DMA"," Binghamton, NY MSA", Other Metro GMR.
NEW YORK,NY,CATTARAUGUS,Chautauqua-Allegheny ISR," Buffalo, NY - PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,CAYUGA,Finger Lakes ISR," Syracuse, NY DMA*"," Syracuse, NY MSA", Other Metro GMR.
NEW YORK,NY,CHAUTAUQUA,Chautauqua-Allegheny ISR," Buffalo, NY - PA DMA"," Jamestown, NY MSA", Other Metro GMR.
NEW YORK,NY,CHEMUNG,Finger Lakes ISR," Elmira, NY - PA DMA"," Elmira, NY MSA", Other Metro GMR.
NEW YORK,NY,CHENANGO,Central-Leatherstocking ISR," Binghamton, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,CLINTON,The Adirondacks ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,COLUMBIA,Hudson Valley ISR," Albany - Schenectady - Troy, NY - MA - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,CORTLAND,Finger Lakes ISR," Syracuse, NY DMA*", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,DELAWARE,Catskills ISR," Binghamton, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,DUTCHESS,Hudson Valley ISR," New York, NY - CT - NJ - PA DMA"," Dutchess County, NY PMSA", Other Metro GMR.
NEW YORK,NY,ERIE,Niagara Frontier ISR," Buffalo, NY - PA DMA"," Buffalo - Niagara Falls, NY MSA", Buffalo & Rochester Inner GMR.
NEW YORK,NY,ESSEX,The Adirondacks ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,FRANKLIN,The Adirondacks ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,FULTON,Capital-Saratoga ISR," Albany - Schenectady - Troy, NY - MA - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,GENESEE,Niagara Frontier ISR," Buffalo, NY - PA DMA"," Rochester, NY MSA", Other Metro GMR.
NEW YORK,NY,GREENE,Catskills ISR," Albany - Schenectady - Troy, NY - MA - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,HAMILTON,The Adirondacks ISR," Albany - Schenectady - Troy, NY - MA - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEW YORK,NY,HERKIMER,Central-Leatherstocking ISR," Utica, NY DMA*"," Utica - Rome, NY MSA", Other Metro GMR.
