STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
OKLAHOMA,OK,ADAIR,Northeast-Green ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,ALFALFA,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,ATOKA,Southcentral-Lake ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,BEAVER,Northwest-Red Carpet ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,BECKHAM,Southwest-Great Plains ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,BLAINE,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,BRYAN,Southcentral-Lake ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CADDO,Southwest-Great Plains ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CANADIAN,Central-Frontier ISR," Oklahoma City, OK DMA"," Oklahoma City, OK MSA", Oklahoma CIty Metro GMR.
OKLAHOMA,OK,CARTER,Southcentral-Lake ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CHEROKEE,Northeast-Green ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CHOCTAW,Southeast-Kiamichi ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CIMARRON,Northwest-Red Carpet ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CLEVELAND,Central-Frontier ISR," Oklahoma City, OK DMA"," Oklahoma City, OK MSA", Oklahoma CIty Metro GMR.
OKLAHOMA,OK,COAL,Southcentral-Lake ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,COMANCHE,Southwest-Great Plains ISR," Wichita Falls & Lawton, TX - OK DMA"," Lawton, OK MSA", Other Metro GMR.
OKLAHOMA,OK,COTTON,Southwest-Great Plains ISR," Wichita Falls & Lawton, TX - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CRAIG,Northeast-Green ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,CREEK,Northeast-Green ISR," Tulsa, OK - KS DMA"," Tulsa, OK MSA", Tulsa Metro GMR.
OKLAHOMA,OK,CUSTER,Southwest-Great Plains ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,DELAWARE,Northeast-Green ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,DEWEY,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,ELLIS,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,GARFIELD,Northwest-Red Carpet ISR," Oklahoma City, OK DMA"," Enid, OK MSA", Other Metro GMR.
OKLAHOMA,OK,GARVIN,Southcentral-Lake ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,GRADY,Central-Frontier ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,GRANT,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,GREER,Southwest-Great Plains ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,HARMON,Southwest-Great Plains ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,HARPER,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,HASKELL,Southeast-Kiamichi ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,HUGHES,Central-Frontier ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,JACKSON,Southwest-Great Plains ISR," Wichita Falls & Lawton, TX - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,JEFFERSON,Southwest-Great Plains ISR," Wichita Falls & Lawton, TX - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,JOHNSTON,Southcentral-Lake ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,KAY,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,KINGFISHER,Northwest-Red Carpet ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,KIOWA,Southwest-Great Plains ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,LATIMER,Southeast-Kiamichi ISR," Tulsa, OK - KS DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,LE FLORE,Northeast-Green ISR," Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,LINCOLN,Central-Frontier ISR," Oklahoma City, OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
OKLAHOMA,OK,LOGAN,Central-Frontier ISR," Oklahoma City, OK DMA"," Oklahoma City, OK MSA", Oklahoma CIty Metro GMR.
OKLAHOMA,OK,LOVE,Southcentral-Lake ISR," Sherman - Ada, OK - TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
