STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
PENNSYLVANIA,PA,ADAMS,Hershey/Dutch Country ISR," Harrisburg - Lancaster - Lebanon - York, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,ALLEGHENY,Pittsburgh Area ISR," Pittsburgh, PA - MD- WV DMA"," Pittsburgh, PA MSA", Pittsburgh Metro GMR.
PENNSYLVANIA,PA,ARMSTRONG,Pittsburgh Area ISR," Pittsburgh, PA - MD- WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,BEAVER,Pittsburgh Area ISR," Pittsburgh, PA - MD- WV DMA"," Pittsburgh, PA MSA", Pittsburgh Metro GMR.
PENNSYLVANIA,PA,BEDFORD,Laurel Highlands/So.Alleghenies ISR," Johnstown - Altoona, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,BERKS,Hershey/Dutch Country ISR," Philadelphia, PA - DE - NJ DMA"," Reading, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,BLAIR,Laurel Highlands/So.Alleghenies ISR," Johnstown - Altoona, PA DMA"," Altoona, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,BRADFORD,Pocono Mountains ISR," Wilkes Barre - Scranton, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,BUCKS,Philadelphia Area ISR," Philadelphia, PA - DE - NJ DMA"," Philadelphia, PA - NJ PMSA", Philadelphia Suburbs GMR.
PENNSYLVANIA,PA,BUTLER,Pittsburgh Area ISR," Pittsburgh, PA - MD- WV DMA"," Pittsburgh, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,CAMBRIA,Laurel Highlands/So.Alleghenies ISR," Johnstown - Altoona, PA DMA"," Johnstown, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,CAMERON,Allegheny National Forest ISR," Johnstown - Altoona, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,CARBON,Pocono Mountains ISR," Wilkes Barre - Scranton, PA DMA"," Allentown - Bethlehem - Easton, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,CENTRE,Valleys of the Susquehanna ISR," Johnstown - Altoona, PA DMA"," State College, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,CHESTER,Philadelphia Area ISR," Philadelphia, PA - DE - NJ DMA"," Philadelphia, PA - NJ PMSA", Philadelphia Suburbs GMR.
PENNSYLVANIA,PA,CLARION,Allegheny National Forest ISR," Pittsburgh, PA - MD- WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,CLEARFIELD,Allegheny National Forest ISR," Johnstown - Altoona, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,CLINTON,Valleys of the Susquehanna ISR," Wilkes Barre - Scranton, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,COLUMBIA,Valleys of the Susquehanna ISR," Wilkes Barre - Scranton, PA DMA"," Scranton - Wilkes-Barre - Hazleton, PA MSA", Wilkes-Barre/Scranton GMR.
PENNSYLVANIA,PA,CRAWFORD,Lake Erie ISR," Erie, PA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
PENNSYLVANIA,PA,CUMBERLAND,Hershey/Dutch Country ISR," Harrisburg - Lancaster - Lebanon - York, PA DMA"," Harrisburg - Lebanon - Carlisle, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,DAUPHIN,Hershey/Dutch Country ISR," Harrisburg - Lancaster - Lebanon - York, PA DMA"," Harrisburg - Lebanon - Carlisle, PA MSA", Other Metro GMR.
PENNSYLVANIA,PA,DELAWARE,Philadelphia Area ISR," Philadelphia, PA - DE - NJ DMA"," Philadelphia, PA - NJ PMSA", Philadelphia Suburbs GMR.
