STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
RHODE ISLAND,RI,BRISTOL,Southeast Islands ISR," Providence, RI - New Bedford, MA DMA"," Providence - Warwick - Pawtucket, RI NECMA", Other Metro GMR.
RHODE ISLAND,RI,KENT,Western Central Coast ISR," Providence, RI - New Bedford, MA DMA"," Providence - Warwick - Pawtucket, RI NECMA", Other Metro GMR.
RHODE ISLAND,RI,NEWPORT,Southeast Islands ISR," Providence, RI - New Bedford, MA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
RHODE ISLAND,RI,PROVIDENCE,North Providence ISR," Providence, RI - New Bedford, MA DMA"," Providence - Warwick - Pawtucket, RI NECMA", Providence Inner (Prov. Co.) GMR.
RHODE ISLAND,RI,WASHINGTON,Western Central Coast ISR," Providence, RI - New Bedford, MA DMA"," Providence - Warwick - Pawtucket, RI NECMA", Other Metro GMR.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
