STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
SOUTH CAROLINA,SC,ABBEVILLE,Old 96 District ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,AIKEN,Thoroughbred Country ISR," Augusta, GA - SC DMA"," Augusta - Aiken, GA - SC MSA", Other Metro GMR.
SOUTH CAROLINA,SC,ALLENDALE,Thoroughbred Country ISR," Augusta, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,ANDERSON,Discover Upcontry Carolina ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"," Greenville - Spartanburg - Anderson, SC MSA", Greenville Metr
SOUTH CAROLINA,SC,BAMBERG,Thoroughbred Country ISR," Augusta, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,BARNWELL,Thoroughbred Country ISR," Augusta, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,BEAUFORT,Lowcountry & Resort Islands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,BERKELEY,Santee Cooper Country ISR," Charleston, SC DMA"," Charleston - North Charleston, SC MSA", Charleston Metro GMR.
SOUTH CAROLINA,SC,CALHOUN,Santee Cooper Country ISR," Columbia, SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,CHARLESTON,Historic Charleston ISR," Charleston, SC DMA"," Charleston - North Charleston, SC MSA", Charleston Metro GMR.
SOUTH CAROLINA,SC,CHEROKEE,Discover Upcontry Carolina ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"," Greenville - Spartanburg - Anderson, SC MSA", Greenville Metr
SOUTH CAROLINA,SC,CHESTER,Olde English Country ISR," Charlotte, NC - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,CHESTERFIELD,Olde English Country ISR," Charlotte, NC - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,CLARENDON,Santee Cooper Country ISR," Columbia, SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,COLLETON,Lowcountry & Resort Islands ISR," Charleston, SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,DARLINGTON,Pee Dee Country ISR," Florence - Myrtle Beach, SC - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,DILLON,Pee Dee Country ISR," Florence - Myrtle Beach, SC - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,DORCHESTER,Historic Charleston ISR," Charleston, SC DMA"," Charleston - North Charleston, SC MSA", Charleston Metro GMR.
SOUTH CAROLINA,SC,EDGEFIELD,Old 96 District ISR," Augusta, GA - SC DMA"," Augusta - Aiken, GA - SC MSA", Other Metro GMR.
SOUTH CAROLINA,SC,FAIRFIELD,Olde English Country ISR," Columbia, SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,FLORENCE,Pee Dee Country ISR," Florence - Myrtle Beach, SC - NC DMA"," Florence, SC MSA", Other Metro GMR.
SOUTH CAROLINA,SC,GEORGETOWN,Grand Strand & Myrtle Beach ISR," Charleston, SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,GREENVILLE,Discover Upcontry Carolina ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"," Greenville - Spartanburg - Anderson, SC MSA", Greenville Metr
SOUTH CAROLINA,SC,GREENWOOD,Old 96 District ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,HAMPTON,Lowcountry & Resort Islands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,HORRY,Grand Strand & Myrtle Beach ISR," Florence - Myrtle Beach, SC - NC DMA"," Myrtle Beach, SC MSA", Other Metro GMR.
SOUTH CAROLINA,SC,JASPER,Lowcountry & Resort Islands ISR," Savannah, GA - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,KERSHAW,Olde English Country ISR," Columbia, SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,LANCASTER,Olde English Country ISR," Charlotte, NC - SC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH CAROLINA,SC,LAURENS,Old 96 District ISR," Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
