STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
SOUTH DAKOTA,SD,AURORA,Great Lakes ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BEADLE,Glacial Lakes & Prairies ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BENNETT,"Black Hills, Badlands & Lakes ISR"," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BON HOMME,Dakota Heritage & Lakes ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BROOKINGS,Glacial Lakes & Prairies ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BROWN,Glacial Lakes & Prairies ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BRULE,Great Lakes ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BUFFALO,Great Lakes ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,BUTTE,"Black Hills, Badlands & Lakes ISR"," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,CAMPBELL,Great Lakes ISR," Minot - Bismarck - Dickinson, ND - MT - SD DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,CHARLES MIX,Great Lakes ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,CLARK,Glacial Lakes & Prairies ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
SOUTH DAKOTA,SD,CLAY,Dakota Heritage & Lakes ISR," Sioux Falls (Mitchell), SD - IA - MN - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
