STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
TENNESSEE,TN,ANDERSON,Mountainous East ISR," Knoxville, TN - KY DMA"," Knoxville, TN MSA", Knoxville Metro GMR.
TENNESSEE,TN,BEDFORD,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,BENTON,Delta Country ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,BLEDSOE,Plateaus & Valleys ISR," Chattanooga, TN - GA - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,BLOUNT,Mountainous East ISR," Knoxville, TN - KY DMA"," Knoxville, TN MSA", Knoxville Metro GMR.
TENNESSEE,TN,BRADLEY,Plateaus & Valleys ISR," Chattanooga, TN - GA - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CAMPBELL,Mountainous East ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CANNON,Plateaus & Valleys ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CARROLL,Delta Country ISR," Jackson, TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CARTER,First Frontier ISR," Tri - Cities, TN - VA - KY DMA"," Johnson City - Kingsport - Bristol, TN - VA MSA", Other Metro GMR.
TENNESSEE,TN,CHEATHAM,Heartland ISR," Nashville, TN - KY DMA"," Nashville, TN MSA", Nashville Metro GMR.
TENNESSEE,TN,CHESTER,Delta Country ISR," Memphis, TN - AR- MS - MO DMA"," Jackson, TN MSA", Other Metro GMR.
TENNESSEE,TN,CLAIBORNE,Mountainous East ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CLAY,Plateaus & Valleys ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,COCKE,Mountainous East ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,COFFEE,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CROCKETT,Delta Country ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,CUMBERLAND,Plateaus & Valleys ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,DAVIDSON,Heartland ISR," Nashville, TN - KY DMA"," Nashville, TN MSA", Nashville Metro GMR.
TENNESSEE,TN,DECATUR,Delta Country ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,DE KALB,Plateaus & Valleys ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,DICKSON,Heartland ISR," Nashville, TN - KY DMA"," Nashville, TN MSA", Nashville Metro GMR.
TENNESSEE,TN,DYER,Delta Country ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,FAYETTE,Delta Country ISR," Memphis, TN - AR- MS - MO DMA"," Memphis, TN - AR - MS MSA", Memphis Metro GMR.
TENNESSEE,TN,FENTRESS,Plateaus & Valleys ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,FRANKLIN,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,GIBSON,Delta Country ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,GILES,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,GRAINGER,Mountainous East ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,GREENE,First Frontier ISR," Tri - Cities, TN - VA - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,GRUNDY,Plateaus & Valleys ISR," Chattanooga, TN - GA - NC DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HAMBLEN,Mountainous East ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HAMILTON,Plateaus & Valleys ISR," Chattanooga, TN - GA - NC DMA"," Chattanooga, TN - GA MSA", Other Metro GMR.
TENNESSEE,TN,HANCOCK,First Frontier ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HARDEMAN,Delta Country ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HARDIN,Delta Country ISR," Jackson, TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HAWKINS,First Frontier ISR," Tri - Cities, TN - VA - KY DMA"," Johnson City - Kingsport - Bristol, TN - VA MSA", Other Metro GMR.
TENNESSEE,TN,HAYWOOD,Delta Country ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HENDERSON,Delta Country ISR," Jackson, TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HENRY,Delta Country ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HICKMAN,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HOUSTON,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,HUMPHREYS,Heartland ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,JACKSON,Plateaus & Valleys ISR," Nashville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,JEFFERSON,Mountainous East ISR," Knoxville, TN - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,JOHNSON,First Frontier ISR," Tri - Cities, TN - VA - KY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,KNOX,Mountainous East ISR," Knoxville, TN - KY DMA"," Knoxville, TN MSA", Knoxville Metro GMR.
TENNESSEE,TN,LAKE,Delta Country ISR," Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TENNESSEE,TN,LAUDERDALE,Delta Country ISR," Memphis, TN - AR- MS - MO DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
