STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
TEXAS,TX,ANDERSON,East Texas COG ISR," Dallas - Ft. Worth, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,ANDREWS,Permian Basin RPC ISR," Odessa - Midland, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,ANGELINA,Deep East Texas COG ISR," Tyler - Longview (Lufkin&Nacogdoches), TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,ARANSAS,Coastal Bend COG ISR," Corpus Christi, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,ARCHER,North Texas RPC ISR," Wichita Falls & Lawton, TX - OK DMA"," Wichita Falls, TX MSA", Other Metro GMR.
TEXAS,TX,ARMSTRONG,Panhandle RPC ISR," Amarillo, TX -NM - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,ATASCOSA,Alamo Area COG ISR," San Antonio, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,AUSTIN,Gulf Coast AC ISR," Houston, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,BAILEY,South Plains AOG ISR," Lubbock, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,BANDERA,Alamo Area COG ISR," San Antonio, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,BASTROP,Capital Area PC ISR," Austin, TX DMA"," Austin - San Marcos, TX MSA", San Antonio - Austin Metro GMR.
TEXAS,TX,BAYLOR,North Texas RPC ISR," Wichita Falls & Lawton, TX - OK DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
TEXAS,TX,BEE,Coastal Bend COG ISR," Corpus Christi, TX DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
