STATE,STATE_AB,COUNTY,TVDMA,STATEFP,COUNTYFP,COUNTY_PROPER,,,
ALASKA,AK,ALEUTIANS EAST BOR. 1,"Unmeasured, AK DMA",02,013,Aleutians East,,,
ALASKA,AK,ALEUTIANS WEST C.A. 2,"Unmeasured, AK DMA",02,016,Aleutians West,,,
ALASKA,AK,ANCHORAGE BOR. 3,"Anchorage, AK DMA",02,020,Anchorage,,,
ALASKA,AK,BETHEL C.A. 4,"Unmeasured, AK DMA",02,050,Bethel,,,
ALASKA,AK,BRISTOL BAY BOR. 5,"Unmeasured, AK DMA",02,060,Bristol Bay,,,
ALASKA,AK,DENALI BOR. 6,"Fairbanks, AK DMA",02,068,Denali,,,
ALASKA,AK,DILLINGHAM C.A. 7,"Unmeasured, AK DMA",02,070,Dillingham,,,
ALASKA,AK,FAIRBANKS NO.STAR BOR8.,"Fairbanks, AK DMA",02,090,Fairbanks North Star,,,
ALASKA,AK,HAINES BOR. 9,"Unmeasured, AK DMA",02,100,Haines,,,
ALASKA,AK,JUNEAU BOR. 10,"Juneau, AK DMA",02,110,Juneau,,,
ALASKA,AK,KENAI PENINSULA BOR. 11,"Anchorage, AK DMA",02,122,Kenai Peninsula,,,
ALASKA,AK,KETCHIKAN GATEWAY B1O2,"Unmeasured, AK DMA",02,130,Ketchikan Gateway,,,
ALASKA,AK,KODIAK ISLAND BOR. 13,"Unmeasured, AK DMA",02,150,Kodiak Island,,,
ALASKA,AK,LAKE & PENINSULA BOR14,"Unmeasured, AK DMA",02,164,Lake and Peninsula,,,
ALASKA,AK,MATANUSKA-SUSITNA B1O5,"Anchorage, AK DMA",02,170,Matanuska-Susitna,,,
ALASKA,AK,NOME C.A. 16,"Unmeasured, AK DMA",02,180,Nome,,,
ALASKA,AK,NORTH SLOPE BOR. 17,"Unmeasured, AK DMA",02,185,North Slope,,,
ALASKA,AK,NORTHWEST ARCTIC BO1R8.,"Unmeasured, AK DMA",02,188,Northwest Arctic,,,
ALASKA,AK,PR.WALES-OUT.KET.C.A 19,"Unmeasured, AK DMA",02,201,Prince of Wales-Outter Ketchikan,,,
ALASKA,AK,SITKA BOR. 20,"Unmeasured, AK DMA",02,220,Sitka,,,
ALASKA,AK,SKAGWAY-HOO.-ANG.C.A21,"Unmeasured, AK DMA",02,232,Skagway-Hoonah-Angoon,,,
ALASKA,AK,SOUTHEAST FRBKS. C.A 22,"Fairbanks, AK DMA",02,240,Southeast Fairbanks,,,
ALASKA,AK,VALDEZ-CORDOVA C.A. 23,"Unmeasured, AK DMA",02,261,Valdez-Cordova,,,
ALASKA,AK,WADE HAMPTON C.A. 24,"Unmeasured, AK DMA",02,270,Wade Hampton,,,
ALASKA,AK,WRANGELL-PETERS. C.A25,"Unmeasured, AK DMA",02,280,Wrangell-Petersburg,,,
ALASKA,AK,YAKUTAT BOR. 26,"Unmeasured, AK DMA",02,282,Yakutat,,,
ALASKA,AK,YUKON-KOYUKUK C.A. 27,"Unmeasured, AK DMA",02,290,Yukon-Koyukuk,,,
ALABAMA,AL,AUTAUGA," Montgomery, AL DMA",01,001,Autauga,,,
ALABAMA,AL,BALDWIN," Mobile, AL - Pensacola, FL - MS DMA",01,003,Baldwin,,,
ALABAMA,AL,BARBOUR," Columbus, GA - AL DMA",01,005,Barbour,,,
ALABAMA,AL,BIBB," Birmingham, AL DMA",01,007,Bibb,,,
ALABAMA,AL,BLOUNT," Birmingham, AL DMA",01,009,Blount,,,
ALABAMA,AL,BULLOCK," Montgomery, AL DMA",01,011,Bullock,,,
ALABAMA,AL,BUTLER," Montgomery, AL DMA",01,013,Butler,,,
ALABAMA,AL,CALHOUN," Birmingham, AL DMA",01,015,Calhoun,,,
ALABAMA,AL,CHAMBERS," Columbus, GA - AL DMA",01,017,Chambers,,,
ALABAMA,AL,CHEROKEE," Birmingham, AL DMA",01,019,Cherokee,,,
ALABAMA,AL,CHILTON," Birmingham, AL DMA",01,021,Chilton,,,
ALABAMA,AL,CHOCTAW," Meridian, MS - AL DMA",01,023,Choctaw,,,
ALABAMA,AL,CLARKE," Mobile, AL - Pensacola, FL - MS DMA",01,025,Clarke,,,
ALABAMA,AL,CLAY," Birmingham, AL DMA",01,027,Clay,,,
ALABAMA,AL,CLEBURNE," Atlanta, GA - AL - NC DMA",01,029,Cleburne,,,
ALABAMA,AL,COFFEE," Dothan, AL - GA DMA",01,031,Coffee,,,
ALABAMA,AL,COLBERT," Huntsville - Decatur - Florence, AL - TN DMA",01,033,Colbert,,,
ALABAMA,AL,CONECUH," Mobile, AL - Pensacola, FL - MS DMA",01,035,Conecuh,,,
ALABAMA,AL,COOSA," Montgomery, AL DMA",01,037,Coosa,,,
ALABAMA,AL,COVINGTON," Montgomery, AL DMA",01,039,Covington,,,
ALABAMA,AL,CRENSHAW," Montgomery, AL DMA",01,041,Crenshaw,,,
ALABAMA,AL,CULLMAN," Birmingham, AL DMA",01,043,Cullman,,,
ALABAMA,AL,DALE," Dothan, AL - GA DMA",01,045,Dale,,,
ALABAMA,AL,DALLAS," Montgomery, AL DMA",01,047,Dallas,,,
ALABAMA,AL,ELMORE," Montgomery, AL DMA",01,051,Elmore,,,
ALABAMA,AL,ESCAMBIA," Mobile, AL - Pensacola, FL - MS DMA",01,053,Escambia,,,
ALABAMA,AL,ETOWAH," Birmingham, AL DMA",01,055,Etowah,,,
ALABAMA,AL,FAYETTE," Birmingham, AL DMA",01,057,Fayette,,,
ALABAMA,AL,FRANKLIN," Huntsville - Decatur - Florence, AL - TN DMA",01,059,Franklin,,,
ALABAMA,AL,GENEVA," Dothan, AL - GA DMA",01,061,Geneva,,,
ALABAMA,AL,GREENE," Birmingham, AL DMA",01,063,Greene,,,
ALABAMA,AL,HALE," Birmingham, AL DMA",01,065,Hale,,,
ALABAMA,AL,HENRY," Dothan, AL - GA DMA",01,067,Henry,,,
ALABAMA,AL,HOUSTON," Dothan, AL - GA DMA",01,069,Houston,,,
ALABAMA,AL,JACKSON," Huntsville - Decatur - Florence, AL - TN DMA",01,071,Jackson,,,
ALABAMA,AL,JEFFERSON," Birmingham, AL DMA",01,073,Jefferson,,,
ALABAMA,AL,LAMAR," Columbus - Tupelo - West Point, MS - AL DMA",01,075,Lamar,,,
