STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
NEVADA,UT,CHURCHILL,Pony Express Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,CLARK,Las Vegas Territory ISR," Las Vegas, NV DMA"," Las Vegas, NV - AZ MSA", Las Vegas Metro GMR.
NEVADA,UT,DOUGLAS,Reno-Tahoe Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,ELKO,Cowboy Country ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,ESMERALDA,Pioneer Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,EUREKA,Pony Express Territory ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,HUMBOLDT,Cowboy Country ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,LANDER,Pony Express Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,LINCOLN,Pioneer Territory ISR," Las Vegas, NV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,LYON,Pioneer Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,MINERAL,Pioneer Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,NYE,Pioneer Territory ISR," Las Vegas, NV DMA"," Las Vegas, NV - AZ MSA", Las Vegas Metro GMR.
NEVADA,UT,PERSHING,Cowboy Country ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,STOREY,Reno-Tahoe Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,WASHOE,Reno-Tahoe Territory ISR," Reno, NV - CA DMA"," Reno, NV MSA", Other Metro GMR.
NEVADA,UT,WHITE PINE,Pony Express Territory ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
NEVADA,UT,CARSON CITY,Reno-Tahoe Territory ISR," Reno, NV - CA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
