STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
VERMONT,VT,ADDISON,Champlain Valley ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,BENNINGTON,Southwest ISR," Albany - Schenectady - Troy, NY - MA - VT DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,CALEDONIA,Northeast Kingdom ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,CHITTENDEN,Champlain Valley ISR," Burlington, VT - Plattsburgh, NY DMA"," Burlington, VT NECMA", Burlington (Chittenden Co.) GMR.
VERMONT,VT,ESSEX,Northeast Kingdom ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,FRANKLIN,Champlain Valley ISR," Burlington, VT - Plattsburgh, NY DMA"," Burlington, VT NECMA", Other Metro GMR.
VERMONT,VT,GRAND ISLE,Champlain Valley ISR," Burlington, VT - Plattsburgh, NY DMA"," Burlington, VT NECMA", Other Metro GMR.
VERMONT,VT,LAMOILLE,Central ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,ORANGE,Central ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,ORLEANS,Northeast Kingdom ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,RUTLAND,Southwest ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,WASHINGTON,Central ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,WINDHAM,Southeast ISR," Boston, MA - NH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
VERMONT,VT,WINDSOR,Southeast ISR," Burlington, VT - Plattsburgh, NY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
