STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
WASHINGTON,WA,CLARK,Southern Coast and Mountains ISR," Portland, OR - WA DMA"," Portland - Vancouver, OR - WA PMSA", Other Metro GMR.
WASHINGTON,WA,COWLITZ,Southern Coast and Mountains ISR," Portland, OR - WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,KLICKITAT,Southern Coast and Mountains ISR," Portland, OR - WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,SKAMANIA,Southern Coast and Mountains ISR," Portland, OR - WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,WAHKIAKUM,Southern Coast and Mountains ISR," Portland, OR - WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,CHELAN,Northeastern ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,CLALLAM,Olympic Peninsula ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,DOUGLAS,Northeastern ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,GRAYS HARBOR,Olympic Peninsula ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,ISLAND,Puget Sound ISR," Seattle - Tacoma, WA DMA"," Seattle - Bellevue - Everett, WA PMSA", Seattle Metro GMR.
WASHINGTON,WA,JEFFERSON,Olympic Peninsula ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,KING,Puget Sound ISR," Seattle - Tacoma, WA DMA"," Seattle - Bellevue - Everett, WA PMSA", Seattle Metro GMR.
WASHINGTON,WA,KITSAP,Puget Sound ISR," Seattle - Tacoma, WA DMA"," Bremerton, WA PMSA", Other Metro GMR.
WASHINGTON,WA,LEWIS,Southern Coast and Mountains ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,MASON,Olympic Peninsula ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,PACIFIC,Southern Coast and Mountains ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WASHINGTON,WA,PIERCE,Puget Sound ISR," Seattle - Tacoma, WA DMA"," Tacoma, WA PMSA", Tacoma Metro GMR.
WASHINGTON,WA,SAN JUAN,Puget Sound ISR," Seattle - Tacoma, WA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
