STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
WISCONSIN,WI,ADAMS,Central West ISR," Wausau - Rhinelander, WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,ASHLAND,Northwoods ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,BARRON,Central West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,BAYFIELD,Northwoods ISR," Duluth - Superior, MN - MI - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,BROWN,Central East ISR," Green Bay - Appleton, WI - MI DMA"," Green Bay, WI MSA", Green Bay Metro GMR.
WISCONSIN,WI,BUFFALO,Central West ISR," LaCrosse - Eau Claire, WI - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,BURNETT,Northwoods ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,CALUMET,Central East ISR," Green Bay - Appleton, WI - MI DMA"," Appleton - Oshkosh - Neenah, WI MSA", Green Bay Metro GMR.
WISCONSIN,WI,CHIPPEWA,Central West ISR," LaCrosse - Eau Claire, WI - MN DMA"," Eau Claire, WI MSA", Other Metro GMR.
WISCONSIN,WI,CLARK,Central West ISR," LaCrosse - Eau Claire, WI - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,COLUMBIA,Southwest ISR," Madison, WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,CRAWFORD,Southwest ISR," LaCrosse - Eau Claire, WI - MN DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,DANE,Southwest ISR," Madison, WI DMA"," Madison, WI MSA", Madison Metro GMR.
WISCONSIN,WI,DODGE,Southeast ISR," Milwaukee, WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,DOOR,Central East ISR," Green Bay - Appleton, WI - MI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,DOUGLAS,Northwoods ISR," Duluth - Superior, MN - MI - WI DMA"," Duluth - Superior, MN - WI MSA", Other Metro GMR.
WISCONSIN,WI,DUNN,Central West ISR," Minneapolis - St. Paul, MN - WI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WISCONSIN,WI,EAU CLAIRE,Central West ISR," LaCrosse - Eau Claire, WI - MN DMA"," Eau Claire, WI MSA", Other Metro GMR.
WISCONSIN,WI,FLORENCE,Northwoods ISR," Marquette, MI DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
