STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
WEST VIRGINIA,WV,BARBOUR,Mountaineer Country ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,BERKELEY,Eastern Panhandle ISR," Washington, DC - MD - PA - VA - WV DMA"," Washington, DC - MD - VA - WV PMSA", Other Metro GMR.
WEST VIRGINIA,WV,BOONE,Metro Valley ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,BRAXTON,Mountain Lakes ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,BROOKE,Northern Panhandle ISR," Wheeling - Steubenville, WV - OH DMA"," Steubenville - Weirton, OH - WV MSA", Other Metro GMR.
WEST VIRGINIA,WV,CABELL,Metro Valley ISR," Charleston - Huntington, WV - KY - OH DMA"," Huntington - Ashland, WV - KY - OH MSA", Other Metro GMR.
WEST VIRGINIA,WV,CALHOUN,Mid-Ohio Valley ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,CLAY,Mountain Lakes ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,DODDRIDGE,Mountaineer Country ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,FAYETTE,New River/Greenbrier Valley ISR," Bluefield - Beckley - Oak Hill, WV - VA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,GILMER,Mountain Lakes ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,GRANT,Potomac Highlands ISR," Washington, DC - MD - PA - VA - WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,GREENBRIER,New River/Greenbrier Valley ISR," Bluefield - Beckley - Oak Hill, WV - VA DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,HAMPSHIRE,Potomac Highlands ISR," Washington, DC - MD - PA - VA - WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,HANCOCK,Northern Panhandle ISR," Wheeling - Steubenville, WV - OH DMA"," Steubenville - Weirton, OH - WV MSA", Other Metro GMR.
WEST VIRGINIA,WV,HARDY,Potomac Highlands ISR," Washington, DC - MD - PA - VA - WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,HARRISON,Mountaineer Country ISR," Clarksburg - Weston, WV DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WEST VIRGINIA,WV,JACKSON,Mid-Ohio Valley ISR," Charleston - Huntington, WV - KY - OH DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
