STATE,STATE_AB,COUNTY,Internal_State_Region,TVDMA,Metropolitan_Statistical_Areas,Metro_Grp
WYOMING,WY,ALBANY,Medicine Bow-Flaming Gorge ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,BIG HORN,Devils Tower-Buffalo Bill ISR," Billings, MT - ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,CAMPBELL,Devils Tower-Buffalo Bill ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,CARBON,Medicine Bow-Flaming Gorge ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,CONVERSE,Oregon Trail-Rendezvous ISR," Casper - Riverton, WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,CROOK,Devils Tower-Buffalo Bill ISR," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,FREMONT,Oregon Trail-Rendezvous ISR," Casper - Riverton, WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,GOSHEN,Oregon Trail-Rendezvous ISR," Cheyenne - Scottsbluff - Sterling, WY - NE DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,HOT SPRINGS,Oregon Trail-Rendezvous ISR," Casper - Riverton, WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,JOHNSON,Devils Tower-Buffalo Bill ISR," Casper - Riverton, WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,LARAMIE,Medicine Bow-Flaming Gorge ISR," Cheyenne - Scottsbluff - Sterling, WY - NE DMA"," Cheyenne, WY MSA", Cheyenne Metro GMR.
WYOMING,WY,LINCOLN,Jackson Hole-Jim Bridger ISR," Idaho Falls - Pocatello, ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,NATRONA,Oregon Trail-Rendezvous ISR," Casper - Riverton, WY DMA"," Casper, WY MSA", Other Metro (Casper) GMR.
WYOMING,WY,NIOBRARA,Oregon Trail-Rendezvous ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,PARK,Yellowstone-Grand Teton ISR," Billings, MT - ID DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,PLATTE,Oregon Trail-Rendezvous ISR," Denver, CO - NE - NV - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,SHERIDAN,Devils Tower-Buffalo Bill ISR," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,SUBLETTE,Jackson Hole-Jim Bridger ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,SWEETWATER,Medicine Bow-Flaming Gorge ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,TETON,Yellowstone-Grand Teton ISR," Idaho Falls - Pocatello, ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,UINTA,Medicine Bow-Flaming Gorge ISR," Salt Lake City, UT - ID - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,WASHAKIE,Devils Tower-Buffalo Bill ISR," Casper - Riverton, WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
WYOMING,WY,WESTON,Devils Tower-Buffalo Bill ISR," Rapid City, SD - MT - NE - WY DMA", Not Assigned to Metro Area (NAM), Non Metro GMR.
